"rep_id","ind_id","par_id","is_tip","s","c","j_obs","tau_a","tau_b","delta","seg_idx","n_segs","branch_rate","n_tips","root_state","lo_born","hi_born"
55,78,0,1,2,2,2,3.06802721088435,3.40136054421769,0.333333333333333,2,3,NA,1,0,0,3.2312925170068
56,79,0,1,0,0,0,2.40136054421769,3.40136054421769,1,0,1,NA,1,0,0,3.2312925170068
57,80,0,1,0,0,0,2.40136054421769,3.40136054421769,1,0,1,NA,1,0,0,3.2312925170068
58,81,0,1,0,1,1,2.40136054421769,2.90136054421769,0.5,0,2,1,1,0,0,3.2312925170068
58,81,0,1,1,1,1,2.90136054421769,3.40136054421769,0.5,1,2,NA,1,0,0,3.2312925170068
59,82,0,1,0,0,0,2.40136054421769,3.40136054421769,1,0,1,NA,1,0,0,3.2312925170068
60,83,0,1,0,0,0,2.40136054421769,3.40136054421769,1,0,1,NA,1,0,0,3.2312925170068
61,85,0,1,0,1,1,2.57142857142857,3.07142857142857,0.5,0,2,1,1,0,0,3.40136054421769
61,85,0,1,1,1,1,3.07142857142857,3.57142857142857,0.5,1,2,NA,1,0,0,3.40136054421769
62,86,0,1,0,0,0,2.57142857142857,3.57142857142857,1,0,1,NA,1,0,0,3.40136054421769
63,87,0,1,0,0,0,2.57142857142857,3.57142857142857,1,0,1,NA,1,0,0,3.40136054421769
64,88,0,1,0,1,8,2.57142857142857,2.68253968253968,0.111111111111111,0,9,1,1,0,0,3.40136054421769
64,88,0,1,1,2,8,2.68253968253968,2.79365079365079,0.111111111111111,1,9,1,1,0,0,3.40136054421769
64,88,0,1,2,3,8,2.79365079365079,2.9047619047619,0.111111111111111,2,9,1,1,0,0,3.40136054421769
64,88,0,1,3,4,8,2.9047619047619,3.01587301587302,0.111111111111111,3,9,1,1,0,0,3.40136054421769
64,88,0,1,4,5,8,3.01587301587302,3.12698412698413,0.111111111111111,4,9,1,1,0,0,3.40136054421769
64,88,0,1,5,6,8,3.12698412698413,3.23809523809524,0.111111111111111,5,9,1,1,0,0,3.40136054421769
64,88,0,1,6,7,8,3.23809523809524,3.34920634920635,0.111111111111111,6,9,1,1,0,0,3.40136054421769
64,88,0,1,7,8,8,3.34920634920635,3.46031746031746,0.111111111111111,7,9,1,1,0,0,3.40136054421769
64,88,0,1,8,8,8,3.46031746031746,3.57142857142857,0.111111111111111,8,9,NA,1,0,0,3.40136054421769
65,89,0,1,0,1,4,2.74149659863946,2.94149659863946,0.2,0,5,1,1,0,0.170068027210884,3.57142857142857
65,89,0,1,1,2,4,2.94149659863946,3.14149659863946,0.2,1,5,1,1,0,0.170068027210884,3.57142857142857
